Date,Open,High,Low,Close,Adj Close,Volume
1996-11-08,22.034204,22.034204,21.994896,22.013239,10.200762,5188363
1996-11-11,21.938988,22.096226,21.822807,21.873472,10.135994,2376533
1996-11-12,21.914530,22.063906,21.855127,22.057791,10.221406,2703650
1996-11-13,22.078754,22.332083,22.004503,22.138157,10.258645,3363893
1996-11-14,22.138157,22.138157,22.138157,22.138157,10.258645,0
1996-11-15,22.167856,22.167856,21.819313,22.013239,10.200762,3638637
1996-11-18,21.959953,22.004503,21.503965,21.602674,10.010510,3111472
1996-11-19,21.647226,21.766027,21.586950,21.751177,10.079324,2138708
1996-11-20,21.810577,21.884829,21.355463,21.423599,9.927528,2959505
1996-11-21,21.438450,21.557251,21.289948,21.319649,9.879359,2391129
1996-11-22,21.260246,21.304796,21.191236,21.229673,9.837660,1528262
1996-11-25,21.345854,21.400013,20.916945,21.006920,9.734442,2907990
1996-11-26,21.021770,21.235788,20.962370,21.068941,9.763182,2282090
1996-11-27,21.066320,21.557251,21.051470,21.432335,9.931577,3003292
1996-11-28,21.468149,21.959953,21.450680,21.914530,10.155022,2833294
1996-11-29,21.989655,22.176592,21.959953,22.028090,10.207645,2424613
1996-12-02,22.034204,22.114571,21.914530,22.028090,10.207645,1415788
1996-12-03,22.123306,22.302382,22.108456,22.212406,10.293056,2628954
1996-12-04,22.093605,22.224636,21.890944,22.030710,10.208858,1892297
1996-12-05,22.034204,22.248222,21.858624,21.989655,10.189830,1845934
1996-12-06,21.438450,21.721478,21.214823,21.501345,9.963552,3308086
1996-12-09,21.602674,21.890944,21.602674,21.837658,10.119399,1364274
1996-12-10,21.945103,22.153006,21.945103,22.084869,10.233953,1705986
1996-12-11,21.945103,21.974804,21.572102,21.632376,10.024274,2440926
1996-12-12,21.617525,21.825428,21.501345,21.662077,10.038036,2067446
1996-12-13,21.453299,21.643730,21.214823,21.289948,9.865592,2143001
1996-12-16,21.289948,21.542400,21.229673,21.486494,9.956672,1675936
1996-12-17,21.364199,21.468149,21.083792,21.239283,9.842115,1684522
1996-12-18,21.289948,21.390404,21.188616,21.229673,9.837660,960744
1996-12-19,21.229673,21.349348,21.083792,21.129215,9.791114,1783258
1996-12-20,21.229673,21.349348,20.962370,21.161537,9.806087,3020464
1996-12-23,21.244522,21.304796,21.185122,21.286453,9.863974,716909
1996-12-24,21.286453,21.286453,21.286453,21.286453,9.863974,0
1996-12-25,21.286453,21.286453,21.286453,21.286453,9.863974,0
1996-12-26,21.286453,21.286453,21.286453,21.286453,9.863974,0
1996-12-27,21.304796,21.402634,21.275097,21.390404,9.912144,758121
1996-12-30,21.453299,21.554630,21.289948,21.441071,9.935622,1105843
1996-12-31,21.441071,21.441071,21.441071,21.441071,9.935622,0
1997-01-01,21.441071,21.441071,21.441071,21.441071,9.935622,0
1997-01-02,21.260246,21.480379,21.203466,21.275097,9.858712,1589220
1997-01-03,21.304796,21.721478,21.304796,21.691776,10.051795,2702791
1997-01-06,21.795729,21.899679,21.721478,21.763407,10.084994,2041689
1997-01-07,21.617525,22.072639,21.542400,21.998388,10.193881,4832055
1997-01-08,22.051676,22.864943,21.974804,22.837862,10.582887,5833153
1997-01-09,22.778461,23.251921,22.512905,23.222219,10.760994,8462965
1997-01-10,23.284243,23.418768,22.793312,22.808163,10.569125,9370478
1997-01-13,23.046638,23.165440,22.926964,22.962778,10.640770,2010780
1997-01-14,22.926964,23.120890,22.808163,22.987238,10.652108,4535847
1997-01-15,23.099924,23.150591,22.926964,23.028294,10.671130,4071358
1997-01-16,23.222219,23.222219,22.947929,22.960157,10.639555,2525925
1997-01-17,23.016937,23.061489,22.909492,22.966272,10.642387,1996185
1997-01-20,23.016937,23.451088,23.016937,23.209991,10.755327,4965993
1997-01-21,23.224840,23.332287,23.091188,23.332287,10.811996,1609826
1997-01-22,23.582119,23.671221,23.328793,23.522718,10.900243,5620226
1997-01-23,23.576006,23.862526,23.374216,23.630163,10.950033,4765086
1997-01-24,23.433617,23.433617,22.867563,22.888529,10.606364,5310281
1997-01-27,22.921722,23.460697,22.921722,23.385572,10.836692,4805439
1997-01-28,23.403917,23.638901,23.272886,23.448467,10.865837,4885287
1997-01-29,23.343643,23.359365,23.076340,23.279001,10.787306,3752827
1997-01-30,23.326172,23.552420,23.326172,23.478168,10.879600,3766565
1997-01-31,23.683451,24.059072,23.683451,23.799631,11.028562,9157552
1997-02-03,23.898340,24.833031,23.867767,24.833031,11.507431,6909805
1997-02-04,24.910776,24.978912,24.594555,24.657450,11.426067,4765945
1997-02-05,24.758780,24.922132,24.752665,24.826916,11.504597,4188124
1997-02-06,24.826916,24.826916,24.826916,24.826916,11.504597,0
1997-02-07,25.657654,25.705698,25.577288,25.630573,11.877006,1754925
1997-02-10,25.458487,25.934566,25.458487,25.896130,12.000062,5509470
1997-02-11,25.919716,26.053368,25.696089,25.845465,11.976583,4462010
1997-02-12,25.845465,25.845465,25.845465,25.845465,11.976583,0
1997-02-13,26.023666,26.276995,25.524002,25.765099,11.939342,6488245
1997-02-14,25.815763,25.815763,25.359776,25.399084,11.769736,4001814
1997-02-17,25.312605,25.368511,25.011232,25.353661,11.748690,4278275
1997-02-18,25.482073,25.592138,25.243595,25.323961,11.734923,3487528
1997-02-19,25.116058,25.116058,25.116058,25.116058,11.638583,5140283
1997-02-20,25.071507,25.240974,24.835651,25.076750,11.620367,2979252
1997-02-21,24.892431,25.145758,24.892431,25.124792,11.642631,2197949
1997-02-24,25.026083,25.026083,24.729078,24.901167,11.539004,2011639
1997-02-25,25.011232,25.399084,25.011232,25.323961,11.734923,2750871
1997-02-26,25.338812,25.383362,25.160608,25.351042,11.747475,1467303
1997-02-27,25.368511,25.666389,25.353661,25.458487,11.797265,2379967
1997-02-28,25.458487,25.648918,25.279409,25.323961,11.734923,2877940
1997-03-03,25.368511,25.368511,25.056658,25.136148,11.647896,1659623
1997-03-04,25.363270,25.630573,25.279409,25.556322,11.842600,3373338
1997-03-05,25.517887,25.976496,25.443636,25.741512,11.928417,3606011
1997-03-06,25.845465,26.053368,25.636688,25.696089,11.907369,3451468
1997-03-07,25.666389,26.000082,25.532738,25.940681,12.020708,3097735
1997-03-10,26.050747,26.128492,25.827122,25.904865,12.004108,2066588
1997-03-11,26.033276,26.351246,25.904865,25.907486,12.005325,5524066
1997-03-12,26.110147,26.110147,25.407822,25.499542,11.816285,2722538
1997-03-13,25.309111,25.428785,25.178080,25.317846,11.732092,2479562
1997-03-14,25.199043,25.919716,24.981533,25.803535,11.957156,3199047
1997-03-17,25.815763,25.830614,25.532738,25.592138,11.859198,2472693
1997-03-18,25.666389,25.815763,25.240974,25.342304,11.743421,2740568
1997-03-19,25.399084,25.571173,25.264561,25.428785,11.783499,1711996
1997-03-20,25.428785,25.428785,24.978912,25.130907,11.645463,3086574
1997-03-21,25.294260,25.399084,25.264561,25.312605,11.729664,3102887
1997-03-24,25.309111,25.725790,25.309111,25.606989,11.866079,2270928
1997-03-25,25.756365,25.997461,25.666389,25.958153,12.028802,2540521
1997-03-26,25.961645,26.634274,25.815763,26.613308,12.332398,4765945
1997-03-27,26.872749,26.932150,26.485771,26.485771,12.273298,1657048
1997-03-28,26.485771,26.485771,26.485771,26.485771,12.273298,0
1997-03-31,26.485771,26.485771,26.485771,26.485771,12.273298,0
1997-04-01,25.934566,25.934566,25.309111,25.660275,11.890772,3206774
1997-04-02,25.934566,26.077827,25.338812,25.413937,11.776619,2693347
1997-04-03,25.428785,25.725790,25.234859,25.562437,11.845433,2884809
1997-04-04,25.725790,25.782570,25.413937,25.503036,11.817905,2573146
1997-04-07,25.803535,26.306696,25.786064,26.232445,12.155905,2319008
1997-04-08,26.291843,26.395796,25.786064,25.866430,11.986302,1851085
1997-04-09,26.053368,26.348625,25.964268,26.253408,12.165624,2752588
1997-04-10,26.247293,26.262144,25.881281,26.012312,12.053900,1800430
1997-04-11,25.993967,26.053368,25.579908,25.606989,11.866079,2158455
1997-04-14,25.323961,25.660275,25.294260,25.583403,11.855147,2444360
1997-04-15,25.786064,25.928452,25.696089,25.917095,12.009780,2143001
1997-04-16,25.917095,25.917095,25.917095,25.917095,12.009780,0
1997-04-17,26.053368,26.380945,25.993967,26.179157,12.131217,3129502
1997-04-18,26.112768,26.687559,26.112768,26.539057,12.297992,3876462
1997-04-21,26.545172,26.857899,26.321545,26.723373,12.383401,4812308
1997-04-22,26.767923,27.447540,26.723373,27.065802,12.542082,5460531
1997-04-23,26.705902,26.708525,26.143341,26.202744,12.142145,2367089
1997-04-24,26.351246,27.074537,26.351246,26.932150,12.480145,3818938
1997-04-25,26.798498,26.843048,26.718134,26.718134,12.380974,518578
1997-04-28,26.857899,26.947001,26.604572,26.932150,12.480145,1160792
1997-04-29,26.991550,27.750658,26.961851,27.706108,12.838794,5286241
1997-04-30,28.042421,28.107937,27.840633,27.932356,12.943633,6359459
1997-05-01,27.932356,27.932356,27.932356,27.932356,12.943633,0
1997-05-02,28.093086,28.414551,28.183062,28.411928,13.165865,1403768
1997-05-05,28.584890,29.388548,28.524616,29.382433,13.615590,5071597
1997-05-06,29.686426,29.772905,28.942169,29.046120,13.459742,3490104
1997-05-07,29.031269,29.477650,28.971869,29.320412,13.586848,3513285
1997-05-08,29.320412,29.320412,29.320412,29.320412,13.586848,0
1997-05-09,29.329147,30.207056,29.314297,30.043703,13.922013,5022659
1997-05-12,30.028854,30.519785,29.969454,30.400984,14.087577,3084857
1997-05-13,30.504934,30.549484,29.775526,29.805227,13.811509,3838685
1997-05-14,29.790377,29.834929,29.582474,29.766792,13.793697,2349917
1997-05-15,29.864628,29.864628,29.120371,29.209473,13.535442,2223707
1997-05-16,29.329147,29.718746,29.105520,29.120371,13.494150,2549106
1997-05-19,29.120371,29.120371,29.120371,29.120371,13.494150,0
1997-05-20,29.225197,29.269747,28.524616,29.001570,13.439100,2615217
1997-05-21,29.179771,29.671576,29.179771,29.462799,13.652831,2246888
1997-05-22,29.552774,29.682932,29.240046,29.278482,13.567419,1535130
1997-05-23,29.343998,29.418249,29.209473,29.418249,13.632187,306510
